排名,电影名,评分,评价人数,导演,年份,国家,链接
219,青蛇,8.6,未知,徐克 Hark Tsui,未知,未知,https://movie.douban.com/subject/1303394/
220,东邪西毒,8.6,未知,王家卫 Kar Wai Wong,未知,未知,https://movie.douban.com/subject/1292328/
221,黑天鹅,8.6,未知,达伦·阿罗诺夫斯基 Darren Aronofsky,未知,未知,https://movie.douban.com/subject/1978709/
222,新龙门客栈,8.7,未知,李惠民 Raymond Lee,未知,未知,https://movie.douban.com/subject/1292287/
223,初恋这件小事,8.5,未知,"普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭...
                            2010 / 泰国 / 剧情 喜剧 爱情",未知,未知,https://movie.douban.com/subject/4739952/
224,千钧一发,8.8,未知,安德鲁·尼科尔 Andrew Niccol,未知,未知,https://movie.douban.com/subject/1300117/
225,人工智能,8.7,未知,史蒂文·斯皮尔伯格 Steven Spielberg,未知,未知,https://movie.douban.com/subject/1302827/
226,崖上的波妞,8.6,未知,宫崎骏 Hayao Miyazaki,未知,未知,https://movie.douban.com/subject/1959877/
227,虎口脱险,8.9,未知,杰拉尔·乌里 Gérard Oury,未知,未知,https://movie.douban.com/subject/1296909/
228,雨人,8.7,未知,巴瑞·莱文森 Barry Levinson,未知,未知,https://movie.douban.com/subject/1291870/
229,彗星来的那一夜,8.6,未知,詹姆斯·沃德·布柯特 James Ward Byrkit,未知,未知,https://movie.douban.com/subject/25807345/
230,哈利·波特与凤凰社,8.6,未知,大卫·叶茨 David Yates,未知,未知,https://movie.douban.com/subject/1457217/
231,罗生门,8.8,未知,黑泽明 Akira Kurosawa,未知,未知,https://movie.douban.com/subject/1291879/
232,海边的曼彻斯特,8.6,未知,肯尼斯·罗纳根 Kenneth Lonergan,未知,未知,https://movie.douban.com/subject/25980443/
233,火星救援,8.5,未知,雷德利·斯科特 Ridley Scott,未知,未知,https://movie.douban.com/subject/25864085/
234,恋恋笔记本,8.5,未知,尼克·卡索维茨 Nick Cassavetes,未知,未知,https://movie.douban.com/subject/1309163/
235,真爱至上,8.5,未知,理查德·柯蒂斯 Richard Curtis,未知,未知,https://movie.douban.com/subject/1292401/
236,冰雪奇缘,8.5,未知,克里斯·巴克 Chris Buck / 珍妮弗·李 Jennifer Lee,未知,未知,https://movie.douban.com/subject/4202982/
237,黑客帝国2：重装上阵,8.7,未知,"拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski   ...
                            2003 / 美国 / 动作 科幻",未知,未知,https://movie.douban.com/subject/1304141/
238,步履不停,8.8,未知,是枝裕和 Hirokazu Koreeda,未知,未知,https://movie.douban.com/subject/2222996/
239,千年女优,8.8,未知,今敏 Satoshi Kon,未知,未知,https://movie.douban.com/subject/1307394/
240,奇迹男孩,8.6,未知,斯蒂芬·卓博斯基 Stephen Chbosky,未知,未知,https://movie.douban.com/subject/26787574/
241,蜘蛛侠：平行宇宙,8.6,未知,鲍勃·佩尔西凯蒂 Bob Persichetti / 彼得·拉姆齐 Peter Ramsey,未知,未知,https://movie.douban.com/subject/26374197/
242,谍影重重2,8.7,未知,保罗·格林格拉斯 Paul Greengrass,未知,未知,https://movie.douban.com/subject/1308767/
243,战争之王,8.7,未知,安德鲁·尼科尔 Andrew Niccol,未知,未知,https://movie.douban.com/subject/1419936/
244,攻壳机动队,9.0,未知,押井守 Mamoru Oshii,未知,未知,https://movie.douban.com/subject/1291936/
245,血钻,8.7,未知,爱德华·兹威克 Edward Zwick,未知,未知,https://movie.douban.com/subject/1428175/
246,小姐,8.5,未知,朴赞郁 Chan-wook Park,未知,未知,https://movie.douban.com/subject/25977027/
247,血观音,8.6,未知,杨雅喆 Ya-che Yang,未知,未知,https://movie.douban.com/subject/27113517/
248,隐藏人物,8.9,未知,特奥多尔·梅尔菲 Theodore Melfi,未知,未知,https://movie.douban.com/subject/26615208/
249,魂断蓝桥,8.8,未知,茂文·勒鲁瓦 Mervyn LeRoy,未知,未知,https://movie.douban.com/subject/1293964/
250,房间,8.7,未知,伦尼·阿伯拉罕森 Lenny Abrahamson,未知,未知,https://movie.douban.com/subject/25724855/
