排名,电影名,评分,评价人数,导演,年份,国家,链接
52,闻香识女人,9.1,未知,马丁·布莱斯 Martin Brest,未知,未知,https://movie.douban.com/subject/1298624/
53,大闹天宫,9.4,未知,万籁鸣 Laiming Wan,未知,未知,https://movie.douban.com/subject/1418019/
54,黑客帝国,9.1,未知,安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski,未知,未知,https://movie.douban.com/subject/1291843/
55,指环王1：护戒使者,9.1,未知,彼得·杰克逊 Peter Jackson,未知,未知,https://movie.douban.com/subject/1291571/
56,罗马假日,9.1,未知,威廉·惠勒 William Wyler,未知,未知,https://movie.douban.com/subject/1293839/
57,教父2,9.3,未知,弗朗西斯·福特·科波拉 Francis Ford Coppola,未知,未知,https://movie.douban.com/subject/1299131/
58,狮子王,9.1,未知,Roger Allers / 罗伯·明可夫 Rob Minkoff,未知,未知,https://movie.douban.com/subject/1301753/
59,天堂电影院,9.2,未知,朱塞佩·托纳多雷 Giuseppe Tornatore,未知,未知,https://movie.douban.com/subject/1291828/
60,饮食男女,9.2,未知,李安 Ang Lee,未知,未知,https://movie.douban.com/subject/1291818/
61,辩护人,9.2,未知,杨宇硕 Woo-seok Yang,未知,未知,https://movie.douban.com/subject/21937445/
62,本杰明·巴顿奇事,9.0,未知,大卫·芬奇 David Fincher,未知,未知,https://movie.douban.com/subject/1485260/
63,搏击俱乐部,9.0,未知,大卫·芬奇 David Fincher,未知,未知,https://movie.douban.com/subject/1292000/
64,美丽心灵,9.1,未知,朗·霍华德 Ron Howard,未知,未知,https://movie.douban.com/subject/1306029/
65,穿条纹睡衣的男孩,9.2,未知,马克·赫尔曼 Mark Herman,未知,未知,https://movie.douban.com/subject/3008247/
66,哈利·波特与死亡圣器(下),9.0,未知,大卫·叶茨 David Yates,未知,未知,https://movie.douban.com/subject/3011235/
67,两杆大烟枪,9.1,未知,盖·里奇 Guy Ritchie,未知,未知,https://movie.douban.com/subject/1293350/
68,功夫,8.9,未知,周星驰 Stephen Chow,未知,未知,https://movie.douban.com/subject/1291543/
69,情书,8.9,未知,岩井俊二 Shunji Iwai,未知,未知,https://movie.douban.com/subject/1292220/
70,窃听风暴,9.2,未知,"弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck  &n...
                            2006 / 德国 / 剧情 悬疑",未知,未知,https://movie.douban.com/subject/1900841/
71,音乐之声,9.1,未知,罗伯特·怀斯 Robert Wise,未知,未知,https://movie.douban.com/subject/1294408/
72,哈利·波特与阿兹卡班的囚徒,9.0,未知,阿方索·卡隆 Alfonso Cuarón,未知,未知,https://movie.douban.com/subject/1291544/
73,阿凡达,8.8,未知,詹姆斯·卡梅隆 James Cameron,未知,未知,https://movie.douban.com/subject/1652587/
74,西西里的美丽传说,8.9,未知,朱塞佩·托纳多雷 Giuseppe Tornatore,未知,未知,https://movie.douban.com/subject/1292402/
75,看不见的客人,8.8,未知,奥里奥尔·保罗 Oriol Paulo,未知,未知,https://movie.douban.com/subject/26580232/
76,拯救大兵瑞恩,9.1,未知,史蒂文·斯皮尔伯格 Steven Spielberg,未知,未知,https://movie.douban.com/subject/1292849/
77,沉默的羔羊,8.9,未知,乔纳森·戴米 Jonathan Demme,未知,未知,https://movie.douban.com/subject/1293544/
78,小鞋子,9.2,未知,马基德·马基迪 Majid Majidi,未知,未知,https://movie.douban.com/subject/1303021/
79,蝴蝶效应,8.9,未知,埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber,未知,未知,https://movie.douban.com/subject/1292343/
80,布达佩斯大饭店,8.9,未知,韦斯·安德森 Wes Anderson,未知,未知,https://movie.douban.com/subject/11525673/
81,还有明天,9.3,未知,宝拉·柯特莱西 Paola Cortellesi,未知,未知,https://movie.douban.com/subject/36445098/
82,飞越疯人院,9.1,未知,米洛斯·福尔曼 Miloš Forman,未知,未知,https://movie.douban.com/subject/1292224/
83,禁闭岛,8.9,未知,Martin Scorsese,未知,未知,https://movie.douban.com/subject/2334904/
84,心灵捕手,9.0,未知,格斯·范·桑特 Gus Van Sant,未知,未知,https://movie.douban.com/subject/1292656/
85,致命魔术,8.9,未知,克里斯托弗·诺兰 Christopher Nolan,未知,未知,https://movie.douban.com/subject/1780330/
86,低俗小说,8.9,未知,昆汀·塔伦蒂诺 Quentin Tarantino,未知,未知,https://movie.douban.com/subject/1291832/
87,哈利·波特与密室,8.9,未知,Chris Columbus,未知,未知,https://movie.douban.com/subject/1296996/
